주택명,상호,대표자,대표전화,이메일,수집일시
오늘공동체주택,주택협동조합 오늘공동체,선주리,010-3595-8114,todaycoop@gmail.com,2025-08-28 09:05:40
어반그로잉 동숭,(주)어반그린,,01028795279,mg.miriham@gmail.com,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,(주)새사주,진남영,02-322-4692,saesaju@gmail.com,2025-08-28 09:05:40
비투코하우징홍은,비투코하우징홍은,변재희,010-8955-5402,jaeheeb@gmail.com,2025-08-28 09:05:40
써드플레이스 신림1,써드플레이스,박창현,02-3144-3133,thirdplace1@naver.com,2025-08-28 09:05:40
써드플레이스 홍은6,써드플레이스,박창현,02-3144-3133,thirdplace1@naver.com,2025-08-28 09:05:40
써드플레이스 홍은4,써드플레이스,박창현,02-3144-3133,thirdplace1@naver.com,2025-08-28 09:05:40
북클럭 플레이스(방배),(주)용택,전예인,010-5091-7617,yongtzekcorp@gmail.com,2025-08-28 09:05:40
북클럭 플레이스(대치),(주)용택,전예인,010-5091-7617,yongtaekcorp@gmail.com,2025-08-28 09:05:40
안녕공동체주택,안녕공동체주택협동조합,이현은,010-2536-6867,annyunghouse@naver.com,2025-08-28 09:05:40
더클래식하우스,더클래식협동조합,박은주,01056645654,kibou0115@naver.com,2025-08-28 09:05:40
INYOURS cheongdam (인유어즈 청담),주식회사 인유어즈,홍진희,025157106,jinhee@smusoop.com,2025-08-28 09:05:40
봉산아래공동체주택,열린사회주거복지협동조합,설진환,01093560739,wjh-0212@naver.com,2025-08-28 09:05:40
사는자리 공동체주택,사는자리협동조합,김영례,,s.gongmo18@gmail.com,2025-08-28 09:05:40
써드플레이스 홍은5,써드플레이스,박창현,02-3144-3133,thirdplace1@naver.com,2025-08-28 09:05:40
써드플레이스 홍은7,써드플레이스,박창현,02-3144-3133,thirdplace1@naver.com,2025-08-28 09:05:40
온음공동체주택,(주)소행주,류현수,02-337-0264,sohengju@gmail.com,2025-08-28 09:05:40
하담재,주택협동조합 시작이반,송하진,,ajimania@gmail.com,2025-08-28 09:05:40
공동체주택 숨과쉼,,,,,2025-08-28 09:05:40
광영청년공동체주택,재단법인 광영공익재단,심상우,,kwangyoung1@outlook.com,2025-08-28 09:05:40
새맘뜰,주식회사 새맘뜰,윤원식,010-7344-6551,saemamddeul@gmail.com,2025-08-28 09:05:40
셀렉티드 송파점,셀렉티드 송파,장상준,0507-1392-6920,selected_sp@naver.com,2025-08-28 09:05:40
명륜3가 청년창업공동체주택,바오랑,김명환,010-4733-0148,mhwany@naver.com,2025-08-28 09:05:40
맑은구름집,맑은구름집,정경환,,cleancloud01@gmail.com,2025-08-28 09:05:40
어반스테이 상수[인증 통과],(주)반디하우징,함경미,010-2879-5279,mg.miriham@gmail.com,2025-08-28 09:05:40
면목동 공동체주택마을 [도서당],(주)경간도시디자인건축사사무소,오호영,02-433-6844,hnarchi@hanmail.net,2025-08-28 09:05:40
코이노니아 스테이,코이노니아 주식회사,박천성,0507-1385-5507,contact@koinonia.seoul.kr,2025-08-28 09:05:40
산에 협동조합 [예비인증통과],산에협동조합,문정아,02-337-0264,,2025-08-28 09:05:40
묘나공주 연남,주식회사 아일에셋,전일고,010-2902-0960,a1asset.corp@daum.net,2025-08-28 09:05:40
써드플레이스 홍은2,써드플레이스,박창현,02-3144-3133,thirdplace1@naver.com,2025-08-28 09:05:40
삶을 잇는 공간 309,소통이있어서행복한주택만들기,남상석,02-337-0264,misasto@naver.com,2025-08-28 09:05:40
신내 여성안심주택 [달리],소통이 있어 행복한 주택,"공동대표 박흥섭, 류현수",02-337-0264,sohengju@gmail.com,2025-08-28 09:05:40
신내소행주 - 공동육아형 공동체주택 [너나들이],소통이있어행복한주택,"공동대표 박흥섭, 류현수",02-337-0264,sohengju@gmail.com,2025-08-28 09:05:40
