주택명,지하철,버스,마트,병원,학교,카페,기타시설,수집일시
오늘공동체주택,1호선 도봉산역 7호선 도봉산역,"140, 150, 160",,,,,,2025-08-28 09:05:40
어반그로잉 동숭,4호선 혜화역,"301, 109, 273",,,,,,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,,,,,,,,2025-08-28 09:05:40
비투코하우징홍은,3호선 홍제역,7713. 7021,,,,,,2025-08-28 09:05:40
써드플레이스 신림1,,,,,,,,2025-08-28 09:05:40
써드플레이스 홍은6,6호선 증산역,"명지대삼거리, 명지대입구.서울무용센터",,,,,,2025-08-28 09:05:40
써드플레이스 홍은4,,,,,,,,2025-08-28 09:05:40
북클럭 플레이스(방배),2호선 방배역 7호선 내방역,다수,,,,,,2025-08-28 09:05:40
북클럭 플레이스(대치),,,,,,,,2025-08-28 09:05:40
안녕공동체주택,,"140, 150, 160, 도봉08, 1139",,,,,,2025-08-28 09:05:40
더클래식하우스,2호선 홍대입구역,"7612,7734,7738,7739,8773",,,,,,2025-08-28 09:05:40
INYOURS cheongdam (인유어즈 청담),,"청담 천주교회 버스정류장 3426, 242, 343, 2416, 3426",,,,,,2025-08-28 09:05:40
봉산아래공동체주택,6호선 새절역 6호선 응암역,7728 (덕산중학교정류장)/ 702. 7022. 7715. 742(서울기독대학/ 우남교통),,,,,,2025-08-28 09:05:40
사는자리 공동체주택,2호선 구로디지털단지역 1호선 독산역,금천우체국 정류장,,,,,,2025-08-28 09:05:40
써드플레이스 홍은5,,,,,,,,2025-08-28 09:05:40
써드플레이스 홍은7,6호선 증산역,명지대삼거리,,,,,,2025-08-28 09:05:40
온음공동체주택,6호선 망원역 6호선 마포구청역,,,,,,,2025-08-28 09:05:40
하담재,,,,,,,,2025-08-28 09:05:40
공동체주택 숨과쉼,,,,,,,,2025-08-28 09:05:40
광영청년공동체주택,,동원산업(삼호물산) 인근입니다,,,,,,2025-08-28 09:05:40
새맘뜰,1호선 온수역 7호선 온수역,,,,,,,2025-08-28 09:05:40
셀렉티드 송파점,,"401, 3319, 3416, 461",,,,,,2025-08-28 09:05:40
명륜3가 청년창업공동체주택,,,,,,,,2025-08-28 09:05:40
맑은구름집,,"1020,7022,7212,1711,7016,7018",,,,,,2025-08-28 09:05:40
어반스테이 상수[인증 통과],,,,,,,,2025-08-28 09:05:40
면목동 공동체주택마을 [도서당],1호선 회기역 경의선 중랑역 7호선 면목역,"320번, 1213번, 146번, 2311번, 2312번, 2416번, N61번",,,,,,2025-08-28 09:05:40
코이노니아 스테이,5호선 우장산역 5호선 마곡역 5호선 발산역,"652, 661, N65, 6629, 6630, 6642, 6648, 6657, 강서05, 강서06 등 다수",,,,,,2025-08-28 09:05:40
산에 협동조합 [예비인증통과],"6호선 월드컵역, 망원역",,,,,,,2025-08-28 09:05:40
묘나공주 연남,,다수,,,,,,2025-08-28 09:05:40
써드플레이스 홍은2,,"7017, 7021, 7612, 7713",,,,,,2025-08-28 09:05:40
삶을 잇는 공간 309,,"마을버스(강서01), 화곡역주변 간선 604/652, 지선 5712/6514/6630등",,,,,,2025-08-28 09:05:40
신내 여성안심주택 [달리],경춘선 신내역 6호선 신내역,"간선241, 260 지선 2114, 2227, 2235 직행 1680",,,,,,2025-08-28 09:05:40
신내소행주 - 공동육아형 공동체주택 [너나들이],경춘선 신내역 6호선 신내역,"간선 241, 260 지선 2114, 2227, 2235 직행 1680",,,,,,2025-08-28 09:05:40
