주택명,house_id,지역,주택유형,테마,교통정보,가격정보,썸네일URL,수집일시
오늘공동체주택,20000570,도봉구,기타,"인증통과,육아형,취미형","1호선 도봉산역
7호선 도봉산역",전세 원,https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=1f4e0b381954488a8a4627839f025a63&fileSn=2,2025-08-28 08:52:21
어반그로잉 동숭,20000555,종로구,원룸(분리형),"인증통과,취미형",4호선 혜화역,"보증금 5천0만원
월세 58만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=504806813443494d97388963c26a8317&fileSn=1,2025-08-28 08:52:21
연희동 청년연구자 주택 애스트리 23,20000551,서대문구,기타,"인증통과,청년형",,전세 원,https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=f9e2e075b81047f1a047a2f9ccfad8c9&fileSn=1,2025-08-28 08:52:21
비투코하우징홍은,20000543,서대문구,원룸(오픈형),"인증통과,청년형,취미형",3호선 홍제역,"보증금 2천0만원
월세 39만원",,2025-08-28 08:52:21
써드플레이스 신림1,20000535,관악구,원룸(오픈형),"인증통과,반려동물",,"보증금 5천5백0만원
월세 36만5천0원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=0ee82149ac6048c2b38e5d65bfc93ffe&fileSn=1,2025-08-28 08:52:21
써드플레이스 홍은6,20000533,서대문구,원룸(오픈형),인증통과,6호선 증산역,"보증금 5천5백0만원
월세 원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=6db8c538c6334d99bb377bbd3ec2ef2d&fileSn=1,2025-08-28 08:52:21
써드플레이스 홍은4,20000532,서대문구,원룸(오픈형),인증통과,,"보증금 원
월세 원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=27f810efc48e4915b8a73a96ae09be6e&fileSn=1,2025-08-28 08:52:21
북클럭 플레이스(방배),20000524,서초구,원룸(오픈형),"인증통과,청년형,여성안심","2호선 방배역
7호선 내방역","보증금 1천0만원
월세 70만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=453f74da244e4be3832b6ae5a8da16d2&fileSn=1,2025-08-28 08:52:21
북클럭 플레이스(대치),20000523,강남구,원룸(오픈형),"인증통과,청년형,여성안심",,"보증금 1천0만원
월세 1백10만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=1b5391af70a44a5b93154275767184cb&fileSn=6,2025-08-28 08:52:21
안녕공동체주택,20000520,도봉구,기타,"인증통과,육아형",,"보증금 5천0만원
월세 60만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=d39dd580c13f4f5d973877f62a682b32&fileSn=1,2025-08-28 08:52:21
더클래식하우스,20000516,서대문구,원룸(오픈형),"인증통과,예술형",2호선 홍대입구역,"보증금 5천0만원
월세 33만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=3eff3162593040c691908561287caaf4&fileSn=1,2025-08-28 08:52:21
INYOURS cheongdam (인유어즈 청담),20000478,강남구,원룸(분리형),"인증통과,예술형",,"보증금 1억원
월세 1백20만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=a1b54dce509f409c8b170f463475d5cf&fileSn=23,2025-08-28 08:52:21
봉산아래공동체주택,20000476,은평구,기타,"인증통과,여성안심,소셜믹스","6호선 새절역
6호선 응암역","보증금 1천0만원
월세 10만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=590c6a138ca84ec8b0bc885eb2cecc9e&fileSn=1,2025-08-28 08:52:21
사는자리 공동체주택,20000474,금천구,기타,"인증통과,소셜믹스","2호선 구로디지털단지역
1호선 독산역","보증금 1천0만원
월세 50만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=6a422ef8ec704f0592d20008e8bff73e&fileSn=1,2025-08-28 08:52:21
써드플레이스 홍은5,20000468,서대문구,원룸(오픈형),인증통과,,"보증금 원
월세 원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=bb5f9cad3c5c4ac8919e82198fc7b850&fileSn=1,2025-08-28 08:52:21
써드플레이스 홍은7,20000467,서대문구,원룸(오픈형),인증통과,6호선 증산역,"보증금 5천5백0만원
월세 원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=1b7d4a931ec140519f8f2d4a83e21774&fileSn=8,2025-08-28 08:52:21
온음공동체주택,20000441,마포구,투룸,인증통과,"6호선 망원역
6호선 마포구청역",전세 4억원,https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=cdeea66b3c3c411196d401f3aaee339d&fileSn=1,2025-08-28 08:52:21
하담재,20000440,서대문구,기타,"인증통과,신혼형",,"보증금 원
월세 60만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=7a021f443c704f3890a941bc17a7e4ae&fileSn=1,2025-08-28 08:52:21
공동체주택 숨과쉼,20000430,서대문구,기타,인증통과,,전세 원,https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=b9a81b68f7fe4139aae5a41d25d10a34&fileSn=1,2025-08-28 08:52:21
광영청년공동체주택,20000425,강남구,원룸(오픈형),"인증통과,청년형,창업형",,"보증금 5백0만원
월세 49만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=d3c0a0ec3c184b309dd2fbae8f0ea6a0&fileSn=19,2025-08-28 08:52:21
새맘뜰,20000423,구로구,기타,"인증통과,청년형,시니어","1호선 온수역
7호선 온수역","보증금 원
월세 10만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=a5d9a4a93f9540cfa1f6fdd6d55768f6&fileSn=16,2025-08-28 08:52:21
셀렉티드 송파점,20000395,송파구,원룸(오픈형),"인증통과,청년형,창업형",,"보증금 1천0만원
월세 54만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=4bb18f006f1f4bf08f4673539b508fc5&fileSn=15,2025-08-28 08:52:21
명륜3가 청년창업공동체주택,20000368,종로구,원룸(오픈형),"인증통과,청년형,창업형",,"보증금 4천0만원
월세 25만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=c628aabef3e348cdbed0e6b876ee12de&fileSn=1,2025-08-28 08:52:21
맑은구름집,20000367,종로구,기타,"인증통과,시니어,육아형",,"보증금 원
월세 16만2천0원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=3228cb2fdbe44a81bb856e67c4485349&fileSn=16,2025-08-28 08:52:21
어반스테이 상수[인증 통과],10002222,마포구,원룸(분리형),"인증통과,예술형",,"보증금 1억6천0만원
월세 26만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=D5D1F9CA6324ABDDE050007F01002F05&fileSn=3,2025-08-28 08:52:21
면목동 공동체주택마을 [도서당],10002143,중랑구,기타,"인증통과,청년형,반려동물","1호선 회기역
경의선 중랑역
7호선 면목역","보증금 1천0만원
월세 19만5천07백61원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=D5D1F9CA631EABDDE050007F01002F05&fileSn=84,2025-08-28 08:52:21
코이노니아 스테이,10002042,강서구,원룸(분리형),"인증통과,청년형,신혼형","5호선 우장산역
5호선 마곡역
5호선 발산역","보증금 5천0만원
월세 원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=D5D1F9CA63C1ABDDE050007F01002F05&fileSn=32,2025-08-28 08:52:21
산에 협동조합 [예비인증통과],10002049,마포구,,인증통과,"6호선 월드컵역, 망원역","보증금 원
월세 원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=D5D1F9CA63BFABDDE050007F01002F05&fileSn=1,2025-08-28 08:52:21
묘나공주 연남,10001682,마포구,원룸(오픈형),"인증통과,반려동물",,전세 원,https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=D5D1F9CA63D6ABDDE050007F01002F05&fileSn=1,2025-08-28 08:52:21
써드플레이스 홍은2,10001603,서대문구,원룸(오픈형),"인증통과,요리형",,"보증금 4천0만원
월세 30만원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=D5D1F9CA63D5ABDDE050007F01002F05&fileSn=2,2025-08-28 08:52:21
삶을 잇는 공간 309,10001301,강서구,기타,"인증통과,육아형",,전세 원,https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=D5D1F9CA63BBABDDE050007F01002F05&fileSn=1,2025-08-28 08:52:21
신내 여성안심주택 [달리],10000921,중랑구,원룸(분리형),"인증통과,여성안심,예술형","경춘선 신내역
6호선 신내역","보증금 1천0만원
월세 원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=D5D1F9CA6427ABDDE050007F01002F05&fileSn=10,2025-08-28 08:52:21
신내소행주 - 공동육아형 공동체주택 [너나들이],10000901,중랑구,쓰리룸,"인증통과,신혼형,육아형","경춘선 신내역
6호선 신내역","보증금 원
월세 원",https://soco.seoul.go.kr/coHouse/cmmn/file/fileDown.do?atchFileId=D5D1F9CA6408ABDDE050007F01002F05&fileSn=15,2025-08-28 08:52:21
